Tecinca	Columna2	Nombre	Fecha Inicio	Fecha Fin	Alto	Largo
Gouache y acrilico sobre lienzo	Golden Void	Vacio dorado	22/9/2022	22/9/2022	30	30
acrilico sobre lienzo	Vacations	Vacaciones	24/9/2022	5/10/2022	20	15
Gouache y acrilico sobre lienzo	Beach in Venus	Playa en venus	18/9/2022	4/11/2022	25	20
acrilico sobre lienzo	The moon landing	The moon landing	5/11/2022	6/11/2022	35	45
Gouache y acrilico sobre lienzo	Alebrixe	Alebrixe	11/9/2022	10/12/2022	30	30
acrilico sobre lienzo	Rusted Dusk	Ocaso Oxidado	24/9/2022	22/12/2022	35	45
acrilico sobre lienzo	Morning Commute	Hay mucho ruido afuera	18/10/2022	26/12/2022	30	30
Gouache y acrilico sobre lienzo	Orb	Orbe	5/9/2022	6/2/2023	30	30
acrilico sobre lienzo	Perhaps Mars Is More Accessible	Quizá Marte sea más accesible	1/12/2022	20/4/2023	35	45
acrilico sobre lienzo		Ecos de un nacimiento	21/4/2023	30/4/2023	60	60
acrilico con polvo de marmol sobre cartón	Spinal Mini	Spinal Mini	6/5/2023	6/5/2023	7,6	5
acrilico sobre terciopelo	Monster	Monstruo	7/5/2023	7/5/2023	10	10
acrilico sobre lienzo	Falling	Falling	8/5/2023	8/5/2023	10	10
acrilico sobre lienzo	A storm in a glass of water	Buscando un vaso de agua para ahogarme	9/5/2023	9/5/2023	10	10
acrilico con polvo de marmol sobre lienzo	Spine	Espinal	1/6/2023	3/6/2023	40	30
acrilico e hilo sobre lienzo	Family, Ramp, and Ties	Familia, rampa y lazos	13/1/2024	9/2/2024	100	150
acrilico sobre lienzo	It's not a mountain either	It's not a mountain either	12/10/2022	19/2/2024	40	80
acrilico con polvo de marmol sobre lienzo	This Land is for Sale	Este cerro esta a la venta	18/2/2024	28/4/2024	45	60
acrilico con polvo de marmol sobre lienzo	Polvo y viento, nada queda, la vida sigue	Dust and Wind, Nothing Remains, Life Goes On	17/3/2024	9/6/2024	45	60
acrilico sobre lienzo	Flames Horizon	Horizonte en llamas	12/7/2024	12/7/2024	25	20
acrilico sobre lienzo		Felicidad Magica	4/3/2024	14/8/2024	35	28
acrilico sobre lienzo		Gato astronauta.  	27/8/2024	30/8/2024	60	45
acrilico sobre lienzo		Puerta dolores	25/7/2024	31/8/2024	40	30
acrilico sobre lienzo		Mariposa.  	12/9/2024	13/9/2024	20	25
